q,max_angle_error_deg,mean_angle_error_deg,sigma_q_over_sigma_1,node_modulus_min,node_modulus_max
95,1.7053025658242404e-13,4.268632231311418e-14,0.4996014557154841,0.9999999999999942,1.0000000000000064
97,1.7053025658242404e-13,4.919775926854405e-14,0.49861515158577446,0.9999999999999942,1.0000000000000044
99,1.7053025658242404e-13,4.9493518150309756e-14,0.4944379584689983,0.9999999999999938,1.0000000000000042
100,1.7053025658242404e-13,4.258593477857175e-14,0.4943755916415171,0.9999999999999938,1.0000000000000042
101,1.7053025658242404e-13,3.7180379787050785e-14,0.486428368765832,0.999999999999995,1.000000000000009
103,1.7053025658242404e-13,4.667032671866022e-14,0.4850895719683135,0.9999999999999928,1.0000000000000049
105,1.7053025658242404e-13,4.0039929044290885e-14,0.4838714491176626,0.9999999999999958,1.0000000000000058
107,1.7053025658242404e-13,4.281725545250627e-14,0.48338439039633085,0.9999999999999948,1.0000000000000056
109,1.4210854715202004e-13,4.186457500747081e-14,0.4831892762950112,0.9999999999999952,1.0000000000000047
111,1.7053025658242404e-13,3.768757078187018e-14,0.46833357029610284,0.9999999999999942,1.000000000000006
113,1.4210854715202004e-13,4.1255101596469315e-14,0.45020869469278063,0.9999999999999956,1.0000000000000053
115,1.7053025658242404e-13,4.116900057575233e-14,0.4494390906474582,0.9999999999999933,1.0000000000000049
117,1.7053025658242404e-13,3.799619688208591e-14,0.4426278989900357,0.9999999999999953,1.0000000000000075
119,1.9895196601282805e-13,4.639799282408259e-14,0.4346089607391514,0.9999999999999953,1.0000000000000056
120,1.7053025658242404e-13,4.184245542641444e-14,0.4230881655251227,0.9999999999999941,1.0000000000000064
121,1.7053025658242404e-13,4.6058657347217857e-14,0.42279375557985455,0.9999999999999938,1.0000000000000047
123,1.2789769243681803e-13,3.978931005815134e-14,0.4224538464148716,0.9999999999999953,1.0000000000000067
125,1.7053025658242404e-13,4.53610482509248e-14,0.4217990119882697,0.9999999999999946,1.0000000000000073
127,1.9895196601282805e-13,4.316057572582144e-14,0.4217916312787339,0.9999999999999944,1.0000000000000062
129,2.4158453015843406e-13,5.228720126982695e-14,0.4216814595397042,0.9999999999999953,1.0000000000000042
131,1.5631940186722204e-13,4.238339958893441e-14,0.4215386878885765,0.9999999999999932,1.0000000000000067
133,1.971756091734278e-13,4.9442488532742876e-14,0.41859437109137126,0.9999999999999915,1.0000000000000062
135,1.7053025658242404e-13,4.682345046670957e-14,0.41762321447129275,0.999999999999995,1.0000000000000069
137,1.9895196601282805e-13,4.901351020100636e-14,0.4172351358956137,0.9999999999999911,1.0000000000000056
139,1.9895196601282805e-13,4.7637353694024164e-14,0.41715438051294224,0.9999999999999937,1.0000000000000073
140,2.2737367544323206e-13,5.0066300311917595e-14,0.4171302342125575,0.9999999999999952,1.0000000000000102
141,1.7053025658242404e-13,4.4213647715426804e-14,0.41712366435003456,0.9999999999999907,1.0000000000000082
143,2.5579538487363607e-13,4.7047059333031633e-14,0.414697546139324,0.9999999999999941,1.000000000000005
145,1.7053025658242404e-13,3.7681735126829276e-14,0.39249251337939967,0.9999999999999933,1.0000000000000064
147,2.5579538487363607e-13,4.530012041973938e-14,0.3924265431913553,0.9999999999999932,1.0000000000000058
149,1.7053025658242404e-13,4.410193314195555e-14,0.3873831962695749,0.9999999999999942,1.0000000000000069
151,2.3447910280083306e-13,6.912792634122995e-14,0.3719006127073725,0.9999999999999928,1.0000000000000109
153,2.3092638912203256e-13,4.9820714003081045e-14,0.2774918116334108,0.9999999999999907,1.0000000000000084
155,2.5579538487363607e-13,5.759837051755312e-14,0.2770744604986771,0.9999999999999899,1.000000000000009
157,2.5579538487363607e-13,6.153322720432015e-14,0.2559494502731892,0.9999999999999936,1.000000000000006
159,3.410605131648481e-13,6.097568292353234e-14,0.2508458420764594,0.9999999999999915,1.0000000000000109
160,2.4868995751603507e-13,5.880296249927141e-14,0.242320095974406,0.9999999999999899,1.0000000000000075
161,2.5579538487363607e-13,6.021684186482432e-14,0.20401216346952633,0.999999999999994,1.0000000000000124
163,1.9895196601282805e-13,5.803265162215496e-14,0.2039319887818874,0.9999999999999927,1.0000000000000089
165,2.2737367544323206e-13,5.6002340811849564e-14,0.16405393566788748,0.9999999999999878,1.000000000000008
167,3.410605131648481e-13,6.071390895024973e-14,0.07088419055076937,0.9999999999999915,1.0000000000000109
169,1.6484591469634324e-12,1.131310692726025e-13,0.018886055223641323,0.9999999999999839,1.0000000000000222
170,2.6716406864579767e-12,1.4426499210926255e-13,0.008845049937220394,0.9999999999999538,1.0000000000000504
172,2.9956481739645824e-11,1.0798284101512834e-12,0.0018382034188530007,0.9999999999993628,1.0000000000005433
173,7.059952622512355e-11,2.4727390976170753e-12,0.0007746075627931885,0.9999999999987587,1.0000000000009828
174,7.293010639841668e-11,3.197899161314492e-12,0.00028869210283385244,0.9999999999990312,1.000000000000954
175,4.982325663149823e-10,2.0001976900171517e-11,0.0001023172455668114,0.9999999999927268,1.0000000000083429
176,8.233769221988041e-10,3.2651729804781965e-11,3.4177440813046636e-05,0.9999999999879857,1.0000000000129818
177,1.0692247087717988e-09,4.224400114085873e-11,3.206285980711765e-05,0.9999999999856823,1.00000000001777
178,6.715481504215859e-10,2.5610538658582663e-11,2.8891432607511007e-05,0.9999999999888686,1.0000000000094398
179,1.1185079529241193e-09,4.555458803475166e-11,2.584942957026269e-05,0.999999999983617,1.000000000017122
180,1.655394044064451e-09,6.439712867894403e-11,2.389064444060448e-05,0.9999999999800155,1.000000000028253
181,1.730882104311604e-09,6.768798382445635e-11,2.3143417553171037e-05,0.9999999999790489,1.0000000000295268
182,1.5480736692552455e-09,6.145967373611144e-11,2.306361019780126e-05,0.999999999979457,1.0000000000262856
183,1.4377405932464171e-09,6.120431393027116e-11,2.297104584474619e-05,0.9999999999774946,1.0000000000202667
184,8.51470360885287e-09,5.172402904535969e-10,1.59387097267224e-05,0.9999999998546237,1.000000000149794
185,8.176911592272518e-09,5.30558318000028e-10,1.1149974745655855e-05,0.9999999998604657,1.000000000145391
186,4.442142653715564e-08,2.0887671986312373e-09,1.4562932324470317e-06,0.9999999992326045,1.0000000006684588
