source_x,element,p,method,trace_error,volume_L2_error,gram_cond,rank,angle_error_deg,esprit_hankel_cond,nfev
0.15,6,9,ESPRIT+VP,0.018151083765119903,0.008050401357204999,700398.8194760763,7,0.003186051749179236,324.2934833039237,41
0.15,6,9,equispaced,0.6354646018827257,0.5481504127118331,2.1056138346365527,9,,,0
0.15,6,11,ESPRIT+VP,0.008814285380581141,0.003986788638983242,2171797288.1950855,9,0.008264221670926528,10268.343099417185,30
0.15,6,11,equispaced,0.5167992107626324,0.33363107332470743,2.732977167722509,11,,,0
0.15,7,1,ESPRIT+VP,0.7941272292335964,0.6611583821928476,1.0,1,5.770097165351236e-07,1.0,2
0.15,7,1,equispaced,0.7968579125056474,0.66189054965869,1.0,1,,,0
0.15,7,3,ESPRIT+VP,0.7152728413199476,0.726830010499044,1.3325368464165934,3,9.688368732072615e-06,134.97721372192626,66
0.15,7,3,equispaced,0.792100069041459,0.6639046443704129,1.0108711119532559,3,,,0
0.15,7,5,ESPRIT+VP,0.45456893113768726,0.27683015246398307,1.5853713032556735,5,0.0001302243683930255,1148.55392929192,114
0.15,7,5,equispaced,0.7741947833762829,0.7053312067051773,1.2867560017150952,5,,,0
0.15,7,7,ESPRIT+VP,0.18664461719772343,0.13359789861599955,396756647640.5192,7,11.092982095995712,1174.711128892584,197
0.15,7,7,equispaced,0.713879994444566,0.7320493999494946,1.3617128043983202,7,,,0
0.15,7,9,ESPRIT+VP,0.05677722762555689,0.03345804393559249,150288889881.17838,8,0.0036508621319200707,1561.4701454796975,37
0.15,7,9,equispaced,0.6777837644924896,0.6073254606347283,2.1056138346365514,9,,,0
0.15,7,11,ESPRIT+VP,0.023467166771925525,0.009731977610723119,51250673405.72061,9,0.009669049247391624,23830.091561000554,30
0.15,7,11,equispaced,0.5580852880647396,0.3707840768978461,2.732977167722507,11,,,0
0.25,0,1,ESPRIT+VP,0.8706201518886508,0.729067790414939,1.0,1,1.52338566906518e-05,1.0,5
0.25,0,1,equispaced,0.8716123146154899,0.7298276046751991,1.0,1,,,0
0.25,0,3,ESPRIT+VP,0.7710755510053418,0.7968351269742749,1.345551544415131,3,4.82777685132326e-06,232.69750148536212,69
0.25,0,3,equispaced,0.8674701075289525,0.7339525373299406,1.0108711119532559,3,,,0
0.25,0,5,ESPRIT+VP,0.5041836390472456,0.5005446597801105,29925561506.96093,5,12.372724546248218,9304.08200895295,264
0.25,0,5,equispaced,0.8026494796924936,0.9558338866566836,1.286756001715094,5,,,0
0.25,0,7,ESPRIT+VP,0.2754732516089101,0.2169567580793044,373591183891.91595,7,7.345312444705754,16602.44427989603,267
