source_x,p,method,trace_error,volume_L2_error,max_gram_cond,min_rank,max_principal_angle_error_deg,mean_half_aperture_deg
0.15,13,ESPRIT-centered fan,0.015717692056352664,0.006633553560993132,28321563965.97624,13,3.949472986257598e-07,48.003987069607206
0.15,13,equispaced,0.3706843670207662,0.09069416794655737,2.2779831800403714,13,,
0.15,17,ESPRIT-centered fan,0.006004436438741234,0.0022413341352204436,375095240236.8851,15,3.949472986257598e-07,51.73385208690274
0.15,17,equispaced,0.12386296054569983,0.006844038789386795,4.03579758444571,17,,
0.15,21,ESPRIT-centered fan,0.0025470026629863937,0.0008637145824502121,380303597077.78973,15,3.949472986257598e-07,52.12553897915236
0.15,21,equispaced,0.02962723026170707,0.0008922991751720732,86.27377086438428,21,,
0.25,1,ESPRIT-centered fan,0.7006175587652876,0.5885221534492362,1.0,1,7.558310856129824e-08,0.0
0.25,1,equispaced,0.7006175587656008,0.588522141520196,1.0,1,,
0.25,3,ESPRIT-centered fan,0.3795677342656554,0.23054309625536068,11.148771103981481,3,7.558310856129824e-08,17.272360077319462
0.25,3,equispaced,0.6989055259975822,0.5911944848333607,1.0108711119532563,3,,
0.25,5,ESPRIT-centered fan,0.21837339379710505,0.12882055230637743,685.5353924145955,5,7.558310856129824e-08,26.930998256553746
0.25,5,equispaced,0.6844799356548047,0.6254269209843284,1.286756001715095,5,,
0.25,7,ESPRIT-centered fan,0.136023601881769,0.07115443629889806,72422.1910311239,7,7.558310856129824e-08,34.38984038289396
0.25,7,equispaced,0.634690976861963,0.6486417079115898,1.3617128043983207,7,,
0.25,9,ESPRIT-centered fan,0.09044633733045802,0.04028411262152749,9455730.581095798,9,7.558310856129824e-08,40.447661330474695
0.25,9,equispaced,0.59872154867772,0.5367286907035863,2.1056138346365523,9,,
0.25,13,ESPRIT-centered fan,0.04651135437147648,0.01627646063404588,313665895429.7105,13,7.558310856129824e-08,48.41076602812436
0.25,13,equispaced,0.3803052942782484,0.09022954867022843,2.2779831800403723,13,,
0.25,17,ESPRIT-centered fan,0.027180434626823954,0.008205668174774828,255544255519.66632,14,7.558310856129824e-08,51.72600857060314
0.25,17,equispaced,0.1422393797257524,0.007352740362014326,4.035797584445708,17,,
0.25,21,ESPRIT-centered fan,0.017005816147507267,0.004597852926594092,992141143238.8911,15,7.558310856129824e-08,51.84654961968945
0.25,21,equispaced,0.05178105031463355,0.0013478572572198358,86.27377086438005,21,,
0.35,1,ESPRIT-centered fan,0.7011517016823008,0.6359864858043948,1.0,1,29.65932001394455,0.0
0.35,1,equispaced,0.7011517016824814,0.6359864474437263,1.0,1,,
0.35,3,ESPRIT-centered fan,0.48126241546425236,0.3300778903713544,17.2108882688065,3,29.65932001394455,17.306705797332597
0.35,3,equispaced,0.6969383420964735,0.6533804440058598,1.0108711119532559,3,,
0.35,5,ESPRIT-centered fan,0.3836758518936881,0.20584522156743265,1532.411479528128,5,29.65932001394455,28.76085463788086
0.35,5,equispaced,0.6734832598826681,0.6576054392882489,1.2867560017150956,5,,
0.35,7,ESPRIT-centered fan,0.33299934548373716,0.1355117588335549,235242.00143162452,7,29.65932001394455,37.45722515370177
0.35,7,equispaced,0.6352861419999536,0.6389996238395794,1.3617128043983213,7,,
0.35,9,ESPRIT-centered fan,0.30223569209926887,0.09893213801243385,43399209.245271035,9,29.65932001394455,44.39553620583105
0.35,9,equispaced,0.6187643720808663,0.5321017794634318,2.1056138346365536,9,,
0.35,13,ESPRIT-centered fan,0.2641192958256776,0.06254483157333228,104191727114.68074,12,29.65932001394455,52.82019707457512
0.35,13,equispaced,0.4484140142110595,0.09378967759138633,2.277983180040372,13,,
0.35,17,ESPRIT-centered fan,0.23618806647920765,0.04458619407577632,972722366672.6965,14,29.65932001394455,55.49218185555381
0.35,17,equispaced,0.29287134495346573,0.011012292311204661,4.0357975844457075,17,,
0.35,21,ESPRIT-centered fan,0.21920595114700944,0.031555570665814776,187366579316.60553,14,29.65932001394455,57.1265288888989
0.35,21,equispaced,0.2456194978869805,0.003762537810761171,86.27377086438345,21,,
