source_x,element,p,method,trace_error,volume_L2_error,gram_cond,rank,principal_angle_error_deg,half_aperture_deg
0.0,7,13,ESPRIT-centered fan,0.007201346194848609,0.003351224647132273,555330493.703726,13,5.088887490341627e-14,47.72147922464317
0.0,7,13,equispaced,0.36712499724653586,0.09095515221007597,2.277983180040369,13,,
0.0,7,17,ESPRIT-centered fan,0.0017761974191742853,0.0007485799216906879,252088885417.13922,16,5.088887490341627e-14,51.6590200854706
0.0,7,17,equispaced,0.11878784524098411,0.007140785815077349,4.03579758444571,17,,
0.0,7,21,ESPRIT-centered fan,0.00047904944181359753,0.00018739225141841263,786641266852.3995,17,5.088887490341627e-14,52.24014562110117
0.0,7,21,equispaced,0.02521387098061324,0.0009928339085033004,86.2737708643789,21,,
0.15,0,1,ESPRIT-centered fan,0.7941272292741716,0.6611583814972648,1.0,1,3.949472986257598e-07,0.0
0.15,0,1,equispaced,0.7941272292758333,0.6611584120835856,1.0,1,,
0.15,0,3,ESPRIT-centered fan,0.45604361948034877,0.27646221462214565,1.543511178006515,3,3.949472986257598e-07,20.44202479757338
0.15,0,3,equispaced,0.7920939691168811,0.6638432646007776,1.0108711119532563,3,,
0.15,0,5,ESPRIT-centered fan,0.2542483080974096,0.15336234526907827,14.814649049273573,5,3.949472986257598e-07,31.67014621018887
0.15,0,5,equispaced,0.7741506281217148,0.7054540132515065,1.2867560017150954,5,,
0.15,0,7,ESPRIT-centered fan,0.14305924352986826,0.0811001678062241,238.58396491559407,7,3.949472986257598e-07,40.56527043841099
0.15,0,7,equispaced,0.7138169942124876,0.7319473261518649,1.3617128043983204,7,,
0.15,0,9,ESPRIT-centered fan,0.08194775570561297,0.04131982921130102,4737.567876869388,9,3.949472986257598e-07,47.83619919415277
0.15,0,9,equispaced,0.6777835279388693,0.6072135146404124,2.1056138346365527,9,,
0.15,0,13,ESPRIT-centered fan,0.0291406319443315,0.01212856040965611,7825281.886869158,13,3.949472986257598e-07,57.0580849784883
0.15,0,13,equispaced,0.4254878171754128,0.10319155592278956,2.2779831800403714,13,,
0.15,0,17,ESPRIT-centered fan,0.011572495266896311,0.0042860337422836806,148805182642.78778,17,3.949472986257598e-07,60.27136122863335
0.15,0,17,equispaced,0.15348193882276395,0.008495326715749048,4.035797584445693,17,,
0.15,0,21,ESPRIT-centered fan,0.004999951975592253,0.0016875334884615648,380131652214.4379,18,3.949472986257598e-07,59.45869200953492
0.15,0,21,equispaced,0.04304544482594435,0.0012336458738108184,86.27377086437942,21,,
0.15,1,1,ESPRIT-centered fan,0.720271817456565,0.6028237709227305,1.0,1,6.525391373333987e-09,0.0
0.15,1,1,equispaced,0.720271817456565,0.6028237709057915,1.0,1,,
0.15,1,3,ESPRIT-centered fan,0.3673379183233127,0.22420997875213253,2.4985284124668703,3,6.525391373333987e-09,17.790011224857555
0.15,1,3,equispaced,0.7188390040547223,0.6049338600912255,1.010871111953256,3,,
0.15,1,5,ESPRIT-centered fan,0.1778501449483913,0.10882313819480476,44.055463279168464,5,6.525391373333987e-09,27.81675330542222
0.15,1,5,equispaced,0.8488887747812165,1.007697397803222,1.2867560017150932,5,,
0.15,1,7,ESPRIT-centered fan,0.08639350753238184,0.05088966951935443,1206.9800215404716,7,6.525391373333987e-09,35.45626187872184
0.15,1,7,equispaced,0.6570635738106645,0.6666483307611701,1.3617128043983207,7,,
0.15,1,9,ESPRIT-centered fan,0.04244906582453676,0.022906198642611064,42403.415787294216,9,6.525391373333987e-09,41.77582867978378
0.15,1,9,equispaced,0.6354604417915777,0.5479235401467694,2.1056138346365527,9,,
0.15,1,13,ESPRIT-centered fan,0.010887603853053464,0.004916851330519002,145504851.8109,13,6.525391373333987e-09,50.42505547895233
0.15,1,13,equispaced,0.38384178653345996,0.09352881730192393,2.27798318004037,13,,
0.15,1,17,ESPRIT-centered fan,0.0030847819648167547,0.0012558840751379014,59699309408.93827,16,6.525391373333987e-09,54.256597230227904
0.15,1,17,equispaced,0.12709754777273907,0.006752377104881312,4.035797584445704,17,,
0.15,1,21,ESPRIT-centered fan,0.0009559116349192043,0.0003609903153621034,219084678822.35022,17,6.525391373333987e-09,54.490269877929144
0.15,1,21,equispaced,0.028510635929438158,0.0009015437445855731,86.27377086437782,21,,
0.15,2,1,ESPRIT-centered fan,0.6425412931625143,0.5359887258420271,1.0,1,7.383237859799601e-09,0.0
0.15,2,1,equispaced,0.6425412931684105,0.5359886437407873,1.0,1,,
0.15,2,3,ESPRIT-centered fan,0.28792131622414907,0.17733080724984643,4.764449890689163,3,7.383237859799601e-09,15.367817526258971
0.15,2,3,equispaced,0.641499130868765,0.5374690070894825,1.0108711119532554,3,,
0.15,2,5,ESPRIT-centered fan,0.12055308050370096,0.07400294577853088,143.66147383926852,5,7.383237859799601e-09,24.20629576878647
0.15,2,5,equispaced,0.6345021007381579,0.5571882881503616,1.286756001715094,5,,
0.15,2,7,ESPRIT-centered fan,0.05038985597962548,0.030422433043970597,7461.145117422292,7,7.383237859799601e-09,30.74455448949897
0.15,2,7,equispaced,0.5929130992128924,0.5939687612151696,1.3617128043983202,7,,
0.15,2,9,ESPRIT-centered fan,0.021216379565454673,0.011962918940656599,450651.58453314455,9,7.383237859799601e-09,36.16116497076699
0.15,2,9,equispaced,0.5821506800942913,0.48488559536379305,2.105613834636554,9,,
0.15,2,13,ESPRIT-centered fan,0.003936501139801076,0.0018824269165134409,4142733905.465423,13,7.383237859799601e-09,43.939280879834975
0.15,2,13,equispaced,0.3433010147950953,0.08443651500256237,2.277983180040368,13,,
0.15,2,17,ESPRIT-centered fan,0.0007959655514096089,0.00034495008104317137,49637589459.0238,15,7.383237859799601e-09,47.9096255221386
0.15,2,17,equispaced,0.10828905581748303,0.005905668913638556,4.035797584445699,17,,
0.15,2,21,ESPRIT-centered fan,0.00017568636457082601,7.137369681561486e-05,214907564589.33835,16,7.383237859799601e-09,48.86765298629323
0.15,2,21,equispaced,0.021735425073092188,0.0006270373394769589,86.27377086438159,21,,
